OTUID,V92S41260,SSLF1563,SLS31664,SFR2044,V57VSLS520,VSLS52145,SSL2246,SL529,Soil72,SOIL72,SOIL82,S4WOOD,SOIL4,SOIL4FRASS,SOILA,SOILVELVET,SWOODSPIDER,V88soil,SLSU856,SLS4957
195c933c3454b83410df4631de4a32ca,0,0,0,0,0,0,0,0,0,0,0,1337,0,0,0,0,89,0,0,0
f299e29c2f14224ee041bb579f4a1753,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,13,0,0,0
4bd8011cb10ba2aa75e8a515d8e3155f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81fdb2675a2e3e6236ee5d426badcb5a,0,0,0,0,0,0,0,0,0,0,0,172,24,1009,352,0,0,0,0,0
b14624b16011dae51c4a8a6932f22ad2,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
55bc04542cdf02f5aef64071e59d31b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76a7e9311fa135e98642ff94b8858798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3be08372bb70df01a8ff2579afb62196,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
fa270e6e8ac73776415587bee8416d17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad936b0f33f67336997fc90be88e909e,0,0,0,0,0,0,0,0,214,44,142,3262,0,0,0,0,419,0,0,0
37b0984ee60c7b72523bbce39662ad47,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0
a9263bae63319f5986477123509083d8,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
fbd07d16b74e306c82f386a956df33db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07abe4d2112677e20f76f03b29022075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
a73d0d6f7822c309fed9b84bd32ab533,0,0,0,0,0,0,0,0,0,0,0,92,0,0,18,0,0,0,0,0
d184ddaaff75a83d4d9ce5566685f125,0,0,0,0,0,0,0,0,167,24,158,3408,619,1785,977,703,631,151,0,0
74e020ef707cd52da830fffd899c6a08,0,0,0,0,0,0,0,0,0,0,0,36,0,655,0,0,0,86,0,0
402848c1e9ea7106cf0e10f1af1c4876,0,0,0,0,0,0,0,0,0,0,0,106,0,0,8,0,14,0,0,0
