Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
5fc1ccf16272b9a800d1da9415d1d86b,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
164c202b80514e12ecbaefe2b3ddf88d,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
bdca03d19a390c3266fa99f10ae1de2c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,,
8055cf6d00d4012e7f2d6d9c7ffd5812,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,
0cf86582d9cd16dbcb56fe585af973f2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
52117086b4f4e79bdb1d38313670fd90,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
3994db3b4b061f8f54e58fe6a1fb3ac0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
d6f3ba79e4da87fd81ea84476dcf678a,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
dc6a75e8d5fe3a2c1be8d33e3f86ef10,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
8cb7bdaa2433d5410e825ec1fa7ecd0b,Bacteria,Acidobacteria,DA052,Ellin6513,,,
f5a185abc7418e4edb628ce22036b025,Archaea,Euryarchaeota,Thermoplasmata,E2,[Methanomassiliicoccaceae],,
4db5ac9fbbb89c5fc979475084c8c596,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
493905297a9879bc7499960d96179db6,Bacteria,FCPU426,,,,,
ac164649e33237f799c1ffee4f344d5d,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
be3713d4d473fe1758fb7c4d27a81901,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
22d2eef72665a15c2e7a8e305b970edd,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
bf808a142b590d83b2bd54ea91bf3fb2,Bacteria,Cyanobacteria,Chloroplast,CAB-I,,,
ebb7fbed7b9688020d65c390f4960a89,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
449107d18084a910bd89ebc76f007714,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
8e41233194ebc3794897ce2fef8a0c79,Archaea,Euryarchaeota,Thermoplasmata,E2,[Methanomassiliicoccaceae],,
86dae2b5f32f5857bb1eb0bdf92842dc,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
5b16ad8223232ff599f6f2d469916e93,Archaea,Crenarchaeota,MBGA,NRP-J,,,
79f37fee0660e917bd1debe546718bad,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica
35d32b73d5d3bb90cd45004d1b91e653,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,,
573f09a1eb2c71237a8fce1acac02430,Bacteria,Cyanobacteria,Chloroplast,,,,
16bfc32ea0ed23fe6885e784fbbd995e,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
c177b616c2edb862cc29dfac582be476,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
7e4221b8c3c993d05dbcbabfa6e41683,Bacteria,OP3,koll11,GIF10,kpj58rc,,
e1953a84bd47e4261c747e882793614a,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
5010ddcd82292c52876326a16412d266,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
7dee5a24a719eb23062ea7f870891c62,Archaea,Crenarchaeota,MBGA,NRP-J,,,
1250e2b5556d76525b2fb86c7927f0c5,Archaea,Euryarchaeota,Thermoplasmata,E2,[Methanomassiliicoccaceae],,
00a3efa9dee969c22915ae2545b44ed1,Bacteria,Verrucomicrobia,[Methylacidiphilae],Methylacidiphilales,,,
c1987ad3c375e00cd847d40d8e3bf23a,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
becbf1a80ad76b164729b0af94a785d6,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
5238796b5d4fc9984790bb0d4c79de14,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
5fe501704d072d4877c692a88410e83a,Bacteria,Proteobacteria,Betaproteobacteria,,,,
332995d39173d94f9f43eca1b4456c3b,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
c24f4a74aee599dcbffda7a35417232c,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
35c1f13a5361d00d5ab88d5fde45f57c,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
661e715466ece55e4c939c555335c8c7,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
aab81bc1ee517683b31ea9ffb3777e8d,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
61ba02aa28a0252796a4d4f209ff53db,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
e14d8b7c1035e36381fea9f4fd32d957,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
7dd6721d8f258aaba76f000c166c52bb,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,
6311cd6690b54c1d714691763f1cd87c,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
6b98725ff4fcc984d3fe7bec8d39538d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
f704c9678a7abc009df6979fa87e84aa,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67_4W,,
597268ceaf65e6cb65c0ecb6b6ea9f27,Bacteria,Acidobacteria,DA052,Ellin6513,,,
5e3cb115010748416e8828c9406e8eee,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,
d26e72cbb81cbfee7635599ff7c20be9,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
b2409d73e2659c2c53686288e7d804fe,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
1206e995d83383df3a193cc52d39764f,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
a931677b2f51df1c45f9266eae8f8c44,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
6e2877d1f692641d68034c3fe1ffc85b,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
d02bdc83f27fd755b60db44ee81cf863,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
27f89668f32711ce1f7a4c35b8c0e726,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
2ac8ef635016d78e42ed4e1f626204c1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
a0d7c4e0c9bbbfa00e49bd84305fa361,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
fc64f13794b19931ead1e02dd8405258,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,
e36bef713bcf558d927846922b0feff9,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67_4W,,
ca47b36e37825caaa76fa0442071b7ed,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,
